year,month,area_of_origin,estimated_dollar_loss,civilian_casualties,extent_of_fire,ignition_source,fire_alarm_system,smoke_alarm_at_fire_origin,sprinkler_system,status_of_fire_on_arrival,fire_alarm_system_impact_on_evacuation
2022,Autumn,"58 - Ducting - Exhaust (inc cooking, fumes, etc.)",5000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2022,Winter,61 - Exterior Wall,20000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2022,Winter,27 - Laundry Area,10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2022,Winter,27 - Laundry Area,20000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2022,Winter,24 - Cooking Area or Kitchen,400,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2022,Winter,99 - Undetermined  (formerly 98),5000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,9 - Smoke alarm presence undetermined,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2022,Winter,24 - Cooking Area or Kitchen,20000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2022,Winter,42 - Garage,0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2022,Winter,97 - Other - unclassified,5000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,Presents and Activated,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Winter,64 - Porch or Balcony,10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",7 - Not applicable: Occupant(s) first alerted by other means
2022,Winter,79 - Other Outside Area,50,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,9 - Smoke alarm presence undetermined,System Presents,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2022,Winter,24 - Cooking Area or Kitchen,5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2022,Winter,24 - Cooking Area or Kitchen,49000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,System Presents,No System,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2022,Winter,24 - Cooking Area or Kitchen,10000,1,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2022,Winter,"18 - Covered Court, Atrium, mall concourse",5000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,System Presents,Presents and Activated,1 - Fire extinguished prior to arrival,NA
2022,Winter,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2022,Winter,47 - Shipping/Receiving/Loading Platform,42000,0,NA,NA,System Presents and Operated,System Presents,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",NA
2022,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Winter,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",2000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,Presents and Activated,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2022,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",500,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2022,Winter,"21 - Living Area (e.g. living, TV, recreation, etc)",15000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,System Presents,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Winter,24 - Cooking Area or Kitchen,10000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Winter,24 - Cooking Area or Kitchen,2000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2022,Winter,"71 - Open Area (inc lawn, field, farmyard, park, playing field, pier,",2000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,9 - Smoke alarm presence undetermined,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)",NA
2022,Winter,24 - Cooking Area or Kitchen,5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2022,Winter,24 - Cooking Area or Kitchen,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2022,Winter,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,No System,System Presents,2 - Fire with no evidence from street,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2022,Summer,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",2000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,9 - Smoke alarm presence undetermined,No System,2 - Fire with no evidence from street,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2022,Summer,24 - Cooking Area or Kitchen,40000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2023,Winter,64 - Porch or Balcony,3000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,No System,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2023,Winter,"12 - Hallway, Corridor",1000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,2 - Fire with no evidence from street,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2023,Winter,"21 - Living Area (e.g. living, TV, recreation, etc)",5000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2023,Winter,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,Presents and Operated,System Presents,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2023,Winter,86 - Passenger Area,30000,0,NA,NA,No System,No System,No System,"7 - Fully involved (total structure, vehicle, spreading outdoor fire)","8 - Not applicable: No fire alarm system, no persons present"
2022,Summer,24 - Cooking Area or Kitchen,2000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
